Subject;k;Fatigue level;Condition;Bound;z1;z2;z3;zNW;a;x0 (nlDDM);nondectime (nlDDM);halfwidth (nlDDM);umixturecoef (nlDDM);vNW;v1;v2;v3;x0 (DDM);nondectime (DDM);halfwidth (DDM);umixturecoef (DDM)
6.0;9.007040347639707;4;accuracy;0.1794280106573234;-0.954439222566624;-0.6315058309093429;-0.4195594144813273;-0.6303026890310541;0.9402599853585;0.0361670632223782;0.3626408492610351;0.1170615699248929;0.0669151936514128;0.6424239661897162;0.991110866116735;0.6774072454447316;0.4010004353423474;0.0015479935132935;0.3588473390922437;0.0860497057468786;0.0097310039944201
7.0;9.079839726108233;4;accuracy;0.1656545327748402;-0.9230910210765187;-0.9482738044809343;-0.5756799003850626;-0.8350417565302402;0.1449901786344742;0.0501082001166604;0.3955479043768191;0.1644708230636261;0.0088422593663423;0.5597622126904265;0.8695610890788184;0.4557753392919882;0.2616237962344831;0.0015486880080652;0.3526771386534231;0.1074959915120761;0.0108844278452578
8.0;9.983420724560103;4;accuracy;0.2875799027710555;-0.9827511759460597;-0.4996678761826164;-0.1383987101650539;-0.5439826244820648;0.4547616392622053;0.0257561659395624;0.3403613899482771;0.1767510402116715;0.0104172993688337;0.4143420341354118;0.6706596372852904;0.2999680766945302;0.0931596489283945;0.0014752079994851;0.3629277298705203;0.1542849279608651;0.014422868204371
9.0;9.680274855995314;4;accuracy;0.2197982368664266;-0.8204458988409625;-0.9703290137356814;-0.9887233031266652;-0.9908344247913078;0.1999618354999559;0.0799855339991843;0.4861161614300657;0.097558689415003;0.0111093343301383;0.6456360748928082;1.0;0.6393899494231228;0.3207095986814277;0.0125958291500618;0.4264746567720031;0.062986689090009;0.0145020121580695
10.0;9.469678156699516;4;accuracy;0.2165136984057238;-0.9950217373629302;-0.7997679838099553;-0.6317358137375615;-0.6622229015132438;0.9100742213382786;0.0461482645503797;0.3568258902784431;0.0997113122801021;0.0541838639710725;0.7668653900472829;1.0;0.7352873746783207;0.5018317339066665;0.0022497546491866;0.343668053864878;0.0603391544553504;0.0048145526674672
11.0;8.994625422811232;4;accuracy;0.1687912882793452;-0.3141302338338181;0.2432274015966395;-0.2564469730858798;-0.7450589618619323;0.1432087258271761;0.0678537070718987;0.4464078994292946;0.1054354672312786;0.005836689384698;0.6838669794085475;1.0;0.6328872017209385;0.3692054448593214;0.0008543975067831;0.3865754857859797;0.0551338220021846;0.0
12.0;7.868462819606716;4;accuracy;0.1948944167040727;-0.9319063774918264;-0.8597695874308364;-0.4656361662313995;-0.972057013197304;0.1585229544703907;0.0638036892958626;0.451947634026181;0.1484298646426194;0.033510093343437;0.5678605583497571;0.9763319417977558;0.5022888127872359;0.283564710666622;0.0018298399142218;0.3871801754641545;0.0952825845338793;0.0247389363242602
13.0;9.740923174527564;4;accuracy;0.2022342668998027;-0.912701045755091;-0.9461577150198636;-0.4935394861721788;-0.9940462921588248;0.189286143157735;0.0662370422705733;0.463541650163247;0.1181202252357981;0.0287994662682163;0.5446041118054701;0.8875850038455732;0.5050103532823506;0.2739881610700612;0.0021114867356648;0.4058671612177968;0.0776761763978993;0.032926415756726
14.0;9.85366978467772;4;accuracy;0.2510285203976565;-0.9948847281675898;-0.9997376337908416;-0.982723355572408;-0.9968981681943612;0.2649249817780994;0.0936241267905753;0.4424272792872604;0.1187702024564937;0.0094721861883456;0.4802101522094121;1.0;0.6095993663469761;0.4007871701715618;0.01546973653344;0.393507512908573;0.0804807995772157;0.0168389959904635
15.0;9.694191535184832;4;accuracy;0.2631728465538888;-0.9999306252538602;-0.9979989576518616;-0.7644719922603833;-0.9250221579082264;0.5599797093039516;0.0540907313582623;0.4334050416677952;0.1289143941854919;0.0438024116171723;0.6279637764729404;0.8519978084383432;0.6384203311509137;0.3772866675841753;0.0012863947265541;0.4179714914190939;0.0898813693788666;0.0049991045356195
16.0;9.290369676023346;4;accuracy;0.2210862408536322;-0.9688107782877798;-0.9717833658091736;-0.8188052033014053;-0.9253346958745284;0.2071190335383792;0.0546862846381175;0.4219402769013127;0.1559020521737457;0.0203227467184585;0.5081940944044335;0.8082552135916613;0.524519855211449;0.3538717061194765;0.0021403214713099;0.3748245583565461;0.1261203633477864;0.011087220247891
17.0;6.5969191263659885;4;accuracy;0.2862700284559313;-0.7834281050581304;-0.6005740967489249;-0.5758352522579389;-0.5009094616048649;0.6804647340398311;0.0547017707005184;0.2315685771304584;0.0468498821919434;0.0774660403795709;0.7562412831372489;1.0;0.8652703441350656;0.6961936287289059;0.0021339870518175;0.4021826001829707;0.0728270907763857;0.0132670584218235
1.0;7.446753732578051;5;accuracy;0.1475613974510043;-0.9751321881133742;-0.6680196101025802;-0.5769142854988847;-0.7554901583462422;0.7822497134406716;0.0674761490120612;0.2254700194318831;0.0035499390987862;0.0976273576364543;0.7732564260231244;0.9736160736334284;0.7009433770678105;0.3408258921895765;0.0078704120738323;0.3800588293634799;0.039602937999272;0.0096551191755793
3.0;7.1825120641514335;5;accuracy;0.2036959229926699;-0.850168600472207;-0.6633438933718336;-0.5791441011412639;-0.6085640967234865;0.7168867366610026;0.0029246376262726;0.2115244199141537;0.0492525083896511;0.0962359070838206;0.7378180218344371;1.0;0.8059947430192457;0.5708319554566457;0.0004362986813234;0.3953643285036923;0.0780280826244907;0.015405069827522
4.0;9.283673610308064;5;accuracy;0.138048024103372;-0.9677287540611637;-0.6671706185485662;-0.5158433073013374;-0.6754585473809049;0.7721398567849407;0.0960366323323139;0.2309985138644978;0.0028630704130961;0.0773371409769324;0.8749948326304178;1.0;0.9123225375900736;0.5984311085488851;0.0039945781062706;0.3543560570861256;0.0317073618096904;0.0023655594922999
5.0;6.25935840420764;5;accuracy;0.2922862237116159;-0.7874046957693651;-0.5609245477762785;-0.4122806324445117;-0.4596312393351984;0.8667206814736137;0.0527638226834044;0.248569796002636;0.0249836662239235;0.0781521319924942;0.8836054768397028;1.0;0.906265582607957;0.6674296260329384;0.011891322386764;0.3709547167516194;0.0519704904258381;0.0034869882412
6.0;7.82632553470957;5;accuracy;0.2331137584231012;-0.954439222566624;-0.6315058309093429;-0.4195594144813273;-0.6303026890310541;0.9402599853585;0.0361670632223782;0.3626408492610351;0.1170615699248929;0.0669151936514128;0.6424239661897162;0.991110866116735;0.6774072454447316;0.4010004353423474;0.0015479935132935;0.3588473390922437;0.0860497057468786;0.0097310039944201
7.0;9.988100109272304;5;accuracy;0.1462474471525486;-0.9230910210765187;-0.9482738044809343;-0.5756799003850626;-0.8350417565302402;0.1449901786344742;0.0501082001166604;0.3955479043768191;0.1644708230636261;0.0088422593663423;0.5597622126904265;0.8695610890788184;0.4557753392919882;0.2616237962344831;0.0015486880080652;0.3526771386534231;0.1074959915120761;0.0108844278452578
8.0;9.733486194719069;5;accuracy;0.2369496945170952;-0.9827511759460597;-0.4996678761826164;-0.1383987101650539;-0.5439826244820648;0.4547616392622053;0.0257561659395624;0.3403613899482771;0.1767510402116715;0.0104172993688337;0.4143420341354118;0.6706596372852904;0.2999680766945302;0.0931596489283945;0.0014752079994851;0.3629277298705203;0.1542849279608651;0.014422868204371
9.0;9.387564177510654;5;accuracy;0.2062170569676924;-0.8204458988409625;-0.9703290137356814;-0.9887233031266652;-0.9908344247913078;0.1999618354999559;0.0799855339991843;0.4861161614300657;0.097558689415003;0.0111093343301383;0.6456360748928082;1.0;0.6393899494231228;0.3207095986814277;0.0125958291500618;0.4264746567720031;0.062986689090009;0.0145020121580695
10.0;9.13940168488846;5;accuracy;0.19862459147556;-0.9950217373629302;-0.7997679838099553;-0.6317358137375615;-0.6622229015132438;0.9100742213382786;0.0461482645503797;0.3568258902784431;0.0997113122801021;0.0541838639710725;0.7668653900472829;1.0;0.7352873746783207;0.5018317339066665;0.0022497546491866;0.343668053864878;0.0603391544553504;0.0048145526674672
11.0;8.493020423281902;5;accuracy;0.1691778351873968;-0.3141302338338181;0.2432274015966395;-0.2564469730858798;-0.7450589618619323;0.1432087258271761;0.0678537070718987;0.4464078994292946;0.1054354672312786;0.005836689384698;0.6838669794085475;1.0;0.6328872017209385;0.3692054448593214;0.0008543975067831;0.3865754857859797;0.0551338220021846;0.0
12.0;9.369358909103134;5;accuracy;0.1693158205589787;-0.9319063774918264;-0.8597695874308364;-0.4656361662313995;-0.972057013197304;0.1585229544703907;0.0638036892958626;0.451947634026181;0.1484298646426194;0.033510093343437;0.5678605583497571;0.9763319417977558;0.5022888127872359;0.283564710666622;0.0018298399142218;0.3871801754641545;0.0952825845338793;0.0247389363242602
13.0;9.654090775241558;5;accuracy;0.1945972100018467;-0.912701045755091;-0.9461577150198636;-0.4935394861721788;-0.9940462921588248;0.189286143157735;0.0662370422705733;0.463541650163247;0.1181202252357981;0.0287994662682163;0.5446041118054701;0.8875850038455732;0.5050103532823506;0.2739881610700612;0.0021114867356648;0.4058671612177968;0.0776761763978993;0.032926415756726
14.0;9.941420971002596;5;accuracy;0.2738626555810562;-0.9948847281675898;-0.9997376337908416;-0.982723355572408;-0.9968981681943612;0.2649249817780994;0.0936241267905753;0.4424272792872604;0.1187702024564937;0.0094721861883456;0.4802101522094121;1.0;0.6095993663469761;0.4007871701715618;0.01546973653344;0.393507512908573;0.0804807995772157;0.0168389959904635
15.0;9.996686567202136;5;accuracy;0.2437650217046709;-0.9999306252538602;-0.9979989576518616;-0.7644719922603833;-0.9250221579082264;0.5599797093039516;0.0540907313582623;0.4334050416677952;0.1289143941854919;0.0438024116171723;0.6279637764729404;0.8519978084383432;0.6384203311509137;0.3772866675841753;0.0012863947265541;0.4179714914190939;0.0898813693788666;0.0049991045356195
16.0;9.702629789686128;5;accuracy;0.2175943531218046;-0.9688107782877798;-0.9717833658091736;-0.8188052033014053;-0.9253346958745284;0.2071190335383792;0.0546862846381175;0.4219402769013127;0.1559020521737457;0.0203227467184585;0.5081940944044335;0.8082552135916613;0.524519855211449;0.3538717061194765;0.0021403214713099;0.3748245583565461;0.1261203633477864;0.011087220247891
17.0;7.153930077690539;5;accuracy;0.2724826912446289;-0.7834281050581304;-0.6005740967489249;-0.5758352522579389;-0.5009094616048649;0.6804647340398311;0.0547017707005184;0.2315685771304584;0.0468498821919434;0.0774660403795709;0.7562412831372489;1.0;0.8652703441350656;0.6961936287289059;0.0021339870518175;0.4021826001829707;0.0728270907763857;0.0132670584218235
1.0;6.482597404236996;1;speed;0.1322997197866954;-0.9751321881133742;-0.6680196101025802;-0.5769142854988847;-0.7554901583462422;0.8805505219306415;0.0674761490120612;0.2254700194318831;0.0035499390987862;0.0976273576364543;0.7732564260231244;0.9736160736334284;0.7009433770678105;0.3408258921895765;0.0078704120738323;0.3800588293634799;0.039602937999272;0.0096551191755793
3.0;5.338108314138497;1;speed;0.1387055744590532;-0.850168600472207;-0.6633438933718336;-0.5791441011412639;-0.6085640967234865;0.9550372591004136;0.0029246376262726;0.2115244199141537;0.0492525083896511;0.0962359070838206;0.7378180218344371;1.0;0.8059947430192457;0.5708319554566457;0.0004362986813234;0.3953643285036923;0.0780280826244907;0.015405069827522
4.0;6.785299906529791;1;speed;0.1382769995621779;-0.9677287540611637;-0.6671706185485662;-0.5158433073013374;-0.6754585473809049;0.9757112358756196;0.0960366323323139;0.2309985138644978;0.0028630704130961;0.0773371409769324;0.8749948326304178;1.0;0.9123225375900736;0.5984311085488851;0.0039945781062706;0.3543560570861256;0.0317073618096904;0.0023655594922999
5.0;5.6155221229820445;1;speed;0.138736885799757;-0.7874046957693651;-0.5609245477762785;-0.4122806324445117;-0.4596312393351984;1.255580954895353;0.0527638226834044;0.248569796002636;0.0249836662239235;0.0781521319924942;0.8836054768397028;1.0;0.906265582607957;0.6674296260329384;0.011891322386764;0.3709547167516194;0.0519704904258381;0.0034869882412
6.0;8.367512494408093;1;speed;0.1358681572588488;-0.954439222566624;-0.6315058309093429;-0.4195594144813273;-0.6303026890310541;0.1018843737258743;0.0361670632223782;0.3626408492610351;0.1170615699248929;0.0669151936514128;0.6424239661897162;0.991110866116735;0.6774072454447316;0.4010004353423474;0.0015479935132935;0.3588473390922437;0.0860497057468786;0.0097310039944201
7.0;9.617681794617072;1;speed;0.1544701833974702;-0.9230910210765187;-0.9482738044809343;-0.5756799003850626;-0.8350417565302402;0.1014087854517469;0.0501082001166604;0.3955479043768191;0.1644708230636261;0.0088422593663423;0.5597622126904265;0.8695610890788184;0.4557753392919882;0.2616237962344831;0.0015486880080652;0.3526771386534231;0.1074959915120761;0.0108844278452578
8.0;9.925845219602852;1;speed;0.1474296685096016;-0.9827511759460597;-0.4996678761826164;-0.1383987101650539;-0.5439826244820648;0.1233919624378772;0.0257561659395624;0.3403613899482771;0.1767510402116715;0.0104172993688337;0.4143420341354118;0.6706596372852904;0.2999680766945302;0.0931596489283945;0.0014752079994851;0.3629277298705203;0.1542849279608651;0.014422868204371
9.0;9.999183069453592;1;speed;0.1262558582992908;-0.8204458988409625;-0.9703290137356814;-0.9887233031266652;-0.9908344247913078;0.1018298661060836;0.0799855339991843;0.4861161614300657;0.097558689415003;0.0111093343301383;0.6456360748928082;1.0;0.6393899494231228;0.3207095986814277;0.0125958291500618;0.4264746567720031;0.062986689090009;0.0145020121580695
10.0;9.210403317686676;1;speed;0.1328061257977768;-0.9950217373629302;-0.7997679838099553;-0.6317358137375615;-0.6622229015132438;0.1035138726673126;0.0461482645503797;0.3568258902784431;0.0997113122801021;0.0541838639710725;0.7668653900472829;1.0;0.7352873746783207;0.5018317339066665;0.0022497546491866;0.343668053864878;0.0603391544553504;0.0048145526674672
11.0;8.555947650010278;1;speed;0.1190072436442885;-0.3141302338338181;0.2432274015966395;-0.2564469730858798;-0.7450589618619323;0.1018149224301381;0.0678537070718987;0.4464078994292946;0.1054354672312786;0.005836689384698;0.6838669794085475;1.0;0.6328872017209385;0.3692054448593214;0.0008543975067831;0.3865754857859797;0.0551338220021846;0.0
12.0;9.983401825487364;1;speed;0.1355531748434075;-0.9319063774918264;-0.8597695874308364;-0.4656361662313995;-0.972057013197304;0.1049517212856439;0.0638036892958626;0.451947634026181;0.1484298646426194;0.033510093343437;0.5678605583497571;0.9763319417977558;0.5022888127872359;0.283564710666622;0.0018298399142218;0.3871801754641545;0.0952825845338793;0.0247389363242602
13.0;9.170467145071925;1;speed;0.1363547501202421;-0.912701045755091;-0.9461577150198636;-0.4935394861721788;-0.9940462921588248;0.1023976780823723;0.0662370422705733;0.463541650163247;0.1181202252357981;0.0287994662682163;0.5446041118054701;0.8875850038455732;0.5050103532823506;0.2739881610700612;0.0021114867356648;0.4058671612177968;0.0776761763978993;0.032926415756726
14.0;9.94285350978368;1;speed;0.151234718511474;-0.9948847281675898;-0.9997376337908416;-0.982723355572408;-0.9968981681943612;0.1265182118435524;0.0936241267905753;0.4424272792872604;0.1187702024564937;0.0094721861883456;0.4802101522094121;1.0;0.6095993663469761;0.4007871701715618;0.01546973653344;0.393507512908573;0.0804807995772157;0.0168389959904635
15.0;6.10048049862084;1;speed;0.1446282388441362;-0.9999306252538602;-0.9979989576518616;-0.7644719922603833;-0.9250221579082264;0.103955145672792;0.0540907313582623;0.4334050416677952;0.1289143941854919;0.0438024116171723;0.6279637764729404;0.8519978084383432;0.6384203311509137;0.3772866675841753;0.0012863947265541;0.4179714914190939;0.0898813693788666;0.0049991045356195
16.0;8.945798568531064;1;speed;0.1690780216366764;-0.9688107782877798;-0.9717833658091736;-0.8188052033014053;-0.9253346958745284;0.1131742971916383;0.0546862846381175;0.4219402769013127;0.1559020521737457;0.0203227467184585;0.5081940944044335;0.8082552135916613;0.524519855211449;0.3538717061194765;0.0021403214713099;0.3748245583565461;0.1261203633477864;0.011087220247891
17.0;5.976945140412736;1;speed;0.1651167808580817;-0.7834281050581304;-0.6005740967489249;-0.5758352522579389;-0.5009094616048649;0.9551389625087888;0.0547017707005184;0.2315685771304584;0.0468498821919434;0.0774660403795709;0.7562412831372489;1.0;0.8652703441350656;0.6961936287289059;0.0021339870518175;0.4021826001829707;0.0728270907763857;0.0132670584218235
1.0;6.474281206955287;2;speed;0.1556033740800369;-0.9751321881133742;-0.6680196101025802;-0.5769142854988847;-0.7554901583462422;0.8805505219306415;0.0674761490120612;0.2254700194318831;0.0035499390987862;0.0976273576364543;0.7732564260231244;0.9736160736334284;0.7009433770678105;0.3408258921895765;0.0078704120738323;0.3800588293634799;0.039602937999272;0.0096551191755793
3.0;5.4241977987919485;2;speed;0.1445839649748704;-0.850168600472207;-0.6633438933718336;-0.5791441011412639;-0.6085640967234865;0.9550372591004136;0.0029246376262726;0.2115244199141537;0.0492525083896511;0.0962359070838206;0.7378180218344371;1.0;0.8059947430192457;0.5708319554566457;0.0004362986813234;0.3953643285036923;0.0780280826244907;0.015405069827522
4.0;7.312701484957954;2;speed;0.1378274361718752;-0.9677287540611637;-0.6671706185485662;-0.5158433073013374;-0.6754585473809049;0.9757112358756196;0.0960366323323139;0.2309985138644978;0.0028630704130961;0.0773371409769324;0.8749948326304178;1.0;0.9123225375900736;0.5984311085488851;0.0039945781062706;0.3543560570861256;0.0317073618096904;0.0023655594922999
5.0;6.13327528931394;2;speed;0.1314131691868452;-0.7874046957693651;-0.5609245477762785;-0.4122806324445117;-0.4596312393351984;1.255580954895353;0.0527638226834044;0.248569796002636;0.0249836662239235;0.0781521319924942;0.8836054768397028;1.0;0.906265582607957;0.6674296260329384;0.011891322386764;0.3709547167516194;0.0519704904258381;0.0034869882412
6.0;9.662865632568334;2;speed;0.1062467473712249;-0.954439222566624;-0.6315058309093429;-0.4195594144813273;-0.6303026890310541;0.1018843737258743;0.0361670632223782;0.3626408492610351;0.1170615699248929;0.0669151936514128;0.6424239661897162;0.991110866116735;0.6774072454447316;0.4010004353423474;0.0015479935132935;0.3588473390922437;0.0860497057468786;0.0097310039944201
7.0;9.20364041691904;2;speed;0.132924020290208;-0.9230910210765187;-0.9482738044809343;-0.5756799003850626;-0.8350417565302402;0.1014087854517469;0.0501082001166604;0.3955479043768191;0.1644708230636261;0.0088422593663423;0.5597622126904265;0.8695610890788184;0.4557753392919882;0.2616237962344831;0.0015486880080652;0.3526771386534231;0.1074959915120761;0.0108844278452578
8.0;9.481272783467414;2;speed;0.1388966403845146;-0.9827511759460597;-0.4996678761826164;-0.1383987101650539;-0.5439826244820648;0.1233919624378772;0.0257561659395624;0.3403613899482771;0.1767510402116715;0.0104172993688337;0.4143420341354118;0.6706596372852904;0.2999680766945302;0.0931596489283945;0.0014752079994851;0.3629277298705203;0.1542849279608651;0.014422868204371
9.0;9.932015827366214;2;speed;0.126896043542543;-0.8204458988409625;-0.9703290137356814;-0.9887233031266652;-0.9908344247913078;0.1018298661060836;0.0799855339991843;0.4861161614300657;0.097558689415003;0.0111093343301383;0.6456360748928082;1.0;0.6393899494231228;0.3207095986814277;0.0125958291500618;0.4264746567720031;0.062986689090009;0.0145020121580695
10.0;8.101824432440399;2;speed;0.1155021871971985;-0.9950217373629302;-0.7997679838099553;-0.6317358137375615;-0.6622229015132438;0.1035138726673126;0.0461482645503797;0.3568258902784431;0.0997113122801021;0.0541838639710725;0.7668653900472829;1.0;0.7352873746783207;0.5018317339066665;0.0022497546491866;0.343668053864878;0.0603391544553504;0.0048145526674672
